signal,horizon,quintile,n,mean_return,median_return,hit_rate
VB05,3,5,172,-0.0017961116735862141,-0.00337840740573242,0.436046511627907
VB05,5,1,173,0.004957251574792989,0.0026327499258380627,0.5317919075144508
VB05,5,2,173,0.0020390478628448173,0.0006562397462539504,0.5260115606936416
VB05,5,3,174,0.003503691575332658,0.0012208274811228437,0.5344827586206896
VB05,5,4,171,0.0027103302115453814,0.0006138070479491109,0.5029239766081871
VB05,5,5,170,0.0003981071179780409,-0.0009702334407053481,0.4823529411764706
VB05,10,1,172,0.008460591107455858,0.0025497753978255266,0.5406976744186046
VB05,10,2,172,0.002495845933221079,0.0032081583485532583,0.5232558139534884
VB05,10,3,173,0.002102369729160515,0.003547860640034095,0.5549132947976878
VB05,10,4,171,0.005899038637481086,0.0017130620985010836,0.52046783625731
VB05,10,5,168,0.0041165352250811344,0.002138709821393414,0.5178571428571429
VB05,20,1,172,0.015120532428852378,0.0063091284225590405,0.5930232558139535
VB05,20,2,168,0.0069385379054028844,0.002351925671350119,0.5416666666666666
VB05,20,3,173,0.00618801528684361,0.0038330494037477347,0.5664739884393064
VB05,20,4,168,0.006532843389792452,-0.00031096508251271526,0.49404761904761907
VB05,20,5,165,0.00518747177889676,0.0006672328035908226,0.503030303030303
