,0
2021-06-24,
2021-06-25,
2021-06-28,
2021-06-29,
2021-06-30,
2021-07-01,
2021-07-05,
2021-07-06,
2021-07-07,
2021-07-09,
2021-07-13,
2021-07-14,
2021-07-15,
2021-07-16,
2021-07-19,
2021-07-20,
2021-07-21,
2021-07-22,
2021-07-23,
2021-07-26,
2021-07-27,
2021-07-28,
2021-07-29,
2021-07-30,
2021-08-02,
2021-08-03,
2021-08-04,
2021-08-06,
2021-08-09,
2021-08-10,0.22176638128637188
2021-08-13,0.18764575731745897
2021-08-16,0.24948824746606182
2021-08-17,0.2539039686601514
2021-08-18,0.2539039686601514
2021-08-19,0.2893589727164058
2021-08-20,0.29321709235262455
2021-08-23,0.31512432758734943
2021-08-24,0.31512432758734943
2021-08-25,0.31512432758734943
2021-08-26,0.31512432758734943
2021-08-27,0.3081602540495074
2021-08-30,0.3081602540495074
2021-08-31,0.3220884011251914
2021-09-02,0.3220884011251914
2021-09-03,0.33253451143195434
2021-09-06,0.3220884011251914
2021-09-07,0.3186063643562704
2021-09-08,0.3220884011251914
2021-09-09,0.3220884011251914
2021-09-13,0.32557043789411233
2021-09-14,0.31164229081842837
2021-09-15,0.31164229081842837
2021-09-16,0.30119618051166547
2021-09-17,0.2872680334359815
2021-09-20,0.2872680334359815
2021-09-21,0.2872680334359815
2021-09-22,0.2872680334359815
2021-09-23,0.2872680334359815
2021-09-24,0.2872680334359815
2021-09-27,0.30119618051166547
2021-09-28,0.30119618051166547
2021-09-29,0.30119618051166547
2021-09-30,0.31512432758734943
2021-10-05,0.3220884011251914
2021-10-06,0.31164229081842837
2021-10-08,0.2470119247478867
2021-10-13,0.15439028678721933
2021-10-14,0.15439028678721933
2021-10-15,0.16638176537263444
2021-10-18,0.15439028678721933
2021-10-19,0.0877636603900861
2021-10-20,0.08430802534311252
2021-10-21,0.08064193829708236
2021-10-22,0.0798202212406745
2021-10-25,0.08208798329594227
2021-10-26,0.08121678912348444
2021-10-27,0.08027100045971451
2021-10-28,0.08958064164776164
2021-10-29,0.08168157521493681
2021-11-01,0.08058373793340823
