date,baseline_equity,equal_weight_equity,risk_parity_equity,optimize_sharpe_equity
2019-02-21,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-02-22,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-02-25,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-02-26,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-02-27,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-02-28,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-03-01,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-03-04,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-03-05,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-03-06,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-03-07,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-03-12,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-03-13,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-03-14,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-03-15,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-03-18,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-03-19,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-03-20,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-03-21,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-03-22,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-03-25,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-03-26,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-03-27,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-03-28,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-03-29,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-04-01,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-04-02,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-04-03,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-04-04,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-04-09,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-04-10,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-04-11,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
2019-04-12,1.1032790546996314,1.0557039494345961,1.102706193124438,1.1412347825128968
