signal,type,year,horizon,n,coef,hac_tstat,hac_pvalue,spearman_ic,n1,n0,mean_1,mean_0,spread_1_minus_0
PB07,continuous,2021,20,161,-0.20742045062279588,-1.0660477507368264,0.2864020568834371,-0.18732279343991318,,,,,
PB08,continuous,2018,1,227,-0.06617549451951485,-1.4205691399037594,0.15544205528873495,-0.07703616462701172,,,,,
PB08,continuous,2019,1,228,0.02537525825278798,0.6403219935174522,0.5219632850737868,0.025033513014402167,,,,,
PB08,continuous,2020,1,230,-0.06550354930983289,-0.8793012750287454,0.37923794475973205,-0.030628387921477138,,,,,
PB08,continuous,2021,1,180,-0.013582335074507986,-0.2511186245123166,0.8017223968975439,-0.03675860089419717,,,,,
PB08,continuous,2018,3,227,-0.11782231570520528,-0.43107501521870933,0.666413826743555,-0.04412728766838915,,,,,
PB08,continuous,2019,3,228,-0.07253351862654162,-0.3519887652023026,0.7248466880737338,0.01635809718977507,,,,,
PB08,continuous,2020,3,230,-0.07305362547070104,-0.2150941159916157,0.8296939413051113,-0.04264687896988185,,,,,
PB08,continuous,2021,3,178,-0.038525128452510986,-0.19554968694141542,0.8449626438424415,-0.09977317267028613,,,,,
PB08,continuous,2018,5,227,-0.21200728142926822,-0.5308406323710916,0.5955292204598637,-0.05679685905021471,,,,,
PB08,continuous,2019,5,228,-0.16152472955189612,-0.5241447753229866,0.6001778479231985,0.005939194634680814,,,,,
PB08,continuous,2020,5,230,-0.07137620871977148,-0.14076954911902975,0.8880519997620308,-0.011095812588285497,,,,,
PB08,continuous,2021,5,176,-0.21238800610535677,-0.9569514414434414,0.33859176492323806,-0.12880244510300334,,,,,
PB08,continuous,2018,10,227,-0.46016858256785814,-0.9186821039323181,0.3582618730858176,-0.0964331917225359,,,,,
PB08,continuous,2019,10,228,-0.13533216741875767,-0.3226160237921656,0.7469860568898357,-0.023215102928502623,,,,,
PB08,continuous,2020,10,230,0.0862510403155706,0.1284235858568006,0.8978137668855262,0.020328514956191323,,,,,
PB08,continuous,2021,10,171,-0.2651762378501233,-0.8714183094243398,0.38352579217075455,-0.09790683916618982,,,,,
PB08,continuous,2018,20,227,-0.4888252992953213,-1.0052309358600835,0.3147856621227133,-0.05795255540728394,,,,,
PB08,continuous,2019,20,228,-0.3706812705659199,-0.798240841968199,0.424730740612833,-0.1386451629887435,,,,,
PB08,continuous,2020,20,230,-0.18532796610166263,-0.32303215949104613,0.7466708868348912,0.028353992914491682,,,,,
PB08,continuous,2021,20,161,-0.3616460458812347,-1.0948959246950234,0.27356223466395,-0.20599614961511345,,,,,
BB01,binary,2018,1,227,-0.0029781886565728548,-1.1383266967982903,0.25498409031192504,-0.05531859600615672,6.0,221.0,-0.0021462921068943395,0.000831896549678516,-0.0029781886565728556
BB01,binary,2019,1,228,-0.00357785833472904,-1.1365292285445519,0.2557351400884271,-0.061688926370867016,15.0,213.0,-0.0035884417935060364,-1.0583458776991464e-05,-0.003577858334729045
BB01,binary,2020,1,230,0.0006623488658821712,0.28087165964232497,0.7788088383285319,0.007721848357064682,16.0,214.0,0.0010528947615620066,0.0003905458956798347,0.0006623488658821718
BB01,binary,2021,1,180,-0.002402343147527154,-1.5615653166521248,0.11839042544695934,-0.09470473541477947,6.0,174.0,-0.001959851462245976,0.0004424916852811787,-0.002402343147527155
BB01,binary,2018,3,227,0.0072565940615998085,0.4455207811657445,0.6559434452973917,-0.015086889819860925,6.0,221.0,0.009424942985600445,0.0021683489240006456,0.0072565940615998
BB01,binary,2019,3,228,-0.005944761833351383,-0.47069912868616676,0.6378556067165368,-0.009542295800286617,15.0,213.0,-0.004899530651071212,0.0010452311822801755,-0.005944761833351388
BB01,binary,2020,3,230,0.009698522915200321,0.39716471405006887,0.6912460009228468,0.03963882156626537,16.0,214.0,0.011636473719827505,0.0019379508046271855,0.00969852291520032
BB01,binary,2021,3,178,0.00026408443533585383,0.011517855905150958,0.9908102837863414,-0.06724509392014255,6.0,172.0,0.0011130432520829274,0.0008489588167470729,0.00026408443533585454
BB01,binary,2018,5,227,0.024757991442504526,1.7468101773619698,0.08067027061311144,0.08716869673697424,6.0,221.0,0.028202009294198655,0.0034440178516941308,0.024757991442504526
BB01,binary,2019,5,228,0.00611582420924269,0.4184471359746148,0.6756202297806677,0.03427162576159279,15.0,213.0,0.006560779255871626,0.0004449550466289385,0.006115824209242688
BB01,binary,2020,5,230,0.029001887993482547,0.9903775066704393,0.3219896355265308,0.10578932249178614,16.0,214.0,0.0316378844705427,0.0026359964770601473,0.029001887993482554
BB01,binary,2021,5,176,-0.0015217641174855188,-0.07061059785521379,0.9437076755998226,-0.07641991754856467,6.0,170.0,-0.0005760772687612251,0.0009456868487242926,-0.0015217641174855177
BB01,binary,2018,10,227,0.005893610159371398,0.22679181298654166,0.8205856301377854,0.012153327910443523,6.0,221.0,0.011161115416424042,0.005267505257052655,0.005893610159371387
BB01,binary,2019,10,228,0.003227152962331054,0.14898038414436024,0.8815691114003658,0.02486372849370457,15.0,213.0,0.00402478881122974,0.0007976358488986834,0.0032271529623310565
BB01,binary,2020,10,230,0.037491130961371584,1.2815797618778597,0.19999010335990297,0.09858226402519245,16.0,214.0,0.044151760697629196,0.00666062973625761,0.037491130961371584
BB01,binary,2021,10,171,-0.009497047634405276,-0.8828486225744541,0.37731806578251803,-0.04828871014452511,6.0,165.0,-0.007085606770321717,0.0024114408640835564,-0.009497047634405273
BB01,binary,2018,20,227,-0.0005308818567400829,-0.017148659186727738,0.9863180201912092,-0.05573767627893063,6.0,221.0,0.009593021171049746,0.010123903027789812,-0.0005308818567400665
BB01,binary,2019,20,228,0.0008732477560741489,0.06537632964608446,0.9478743699594604,0.020831772521752476,15.0,213.0,-0.0011750103069276597,-0.0020482580630018037,0.000873247756074144
BB01,binary,2020,20,230,0.026071268903266196,0.9421108832567746,0.3461358730719959,0.05199377893756887,16.0,214.0,0.04272472158739151,0.016653452684125308,0.026071268903266203
BB01,binary,2021,20,161,-0.006688439780324132,-0.36815619350080075,0.7127567723653787,-0.013836045746538168,3.0,158.0,-0.0022041077996242477,0.004484331980699883,-0.006688439780324131
BB02,binary,2018,1,227,-0.002266731004201816,-0.3340156197518174,0.738367772056552,-0.02377215586859336,9.0,218.0,-0.0014236827051912328,0.000843048299010583,-0.0022667310042018157
BB02,binary,2019,1,228,-0.0019450002376277266,-1.0869093452020318,0.27707687586187935,-0.0605452584907631,18.0,210.0,-0.002037416462824176,-9.24162251964503e-05,-0.0019450002376277256
BB02,binary,2020,1,230,0.0020405467600882986,0.29011393450041606,0.7717290758293774,0.03491794773608884,3.0,227.0,0.0024505532713066103,0.0004100065112183124,0.0020405467600882977
BB02,binary,2021,1,180,0.0027382634122027493,1.2151878035979085,0.22429447106579636,0.07253347600060991,4.0,176.0,0.0030398266945174113,0.00030156328231465676,0.0027382634122027545
BB02,binary,2018,3,227,-0.010448126502090998,-1.3637464677590765,0.1726473737333214,-0.050300503721951176,9.0,218.0,-0.007673730428802162,0.002774396073288829,-0.010448126502090992
BB02,binary,2019,3,228,0.009992336647902014,0.560944517265056,0.5748353608734461,0.019275633315426623,18.0,210.0,0.009857596395258912,-0.00013474025264310102,0.009992336647902013
BB02,binary,2020,3,230,-0.043063338004731916,-1.2417404706406123,0.21433233283006703,-0.07012447355264124,3.0,227.0,-0.03988901163202907,0.0031743263727028416,-0.04306333800473191
BB02,binary,2021,3,178,0.0018106854960272766,0.34013559960847134,0.7337544136987664,0.02065527045479028,4.0,174.0,0.002627856473605278,0.0008171709775780056,0.0018106854960272722
BB02,binary,2018,5,227,-0.01154107383983698,-0.9412765978515627,0.34656313218442925,-0.06924932361720675,9.0,218.0,-0.006985084123765923,0.004555989716071046,-0.01154107383983697
BB02,binary,2019,5,228,0.021954164293383926,0.9156929576048498,0.3598279597581876,0.06005101148267524,18.0,210.0,0.021068252699037986,-0.0008859115943459307,0.021954164293383916
BB02,binary,2020,5,230,-0.03161999600953902,-1.047145492182303,0.2950324804529383,-0.06204428729966199,3.0,227.0,-0.026554042158894786,0.005065953850644225,-0.03161999600953901
BB02,binary,2021,5,176,0.009267729758246145,0.9426930750068528,0.34583791649485485,0.09680113660709853,4.0,172.0,0.00995090806300511,0.0006831783047589649,0.009267729758246145
BB02,binary,2018,10,227,-0.00032275598657352056,-0.02327320608783182,0.9814323443679966,0.009991195944771124,9.0,218.0,0.005113324005436798,0.005436079992010321,-0.0003227559865735226
BB02,binary,2019,10,228,0.025570816255120962,1.3016729988375508,0.19302819361810142,0.1154066763885158,18.0,210.0,0.024562016147189763,-0.0010088001079311907,0.025570816255120955
