signal,type,horizon,n,n1,n0,mean_1,mean_0,spread_1_minus_0,tstat_spread,pearson_ic,spearman_ic
BB07,continuous,5,861,0,0,,,,,0.031864851229521304,0.02439042480177349
BB07,continuous,10,856,0,0,,,,,0.037400381450460915,0.027602801255372882
BB07,continuous,20,846,0,0,,,,,0.013795977501589082,0.03995323890871456
VB01,binary,1,865,318,547,5.601646345432987e-05,0.00048031961272933336,-0.0004243031492750035,-0.6372088672825724,-0.02007517779273389,-0.0374963179254491
VB01,binary,3,863,317,546,0.0010868967931478896,0.0020035787480767865,-0.0009166819549288969,-0.3087401095451782,-0.010398217782041776,-0.0397898977409926
VB01,binary,5,861,315,546,0.0017308221484014041,0.003307578454767963,-0.001576756306366559,-0.45604152482189625,-0.015130108189127637,-0.0058402663982828
VB01,binary,10,856,313,543,0.0051101621555516,0.004326058755573569,0.0007841033999780311,0.20456866306795912,0.007031398257030494,-0.003960851956201111
VB01,binary,20,846,307,539,0.003944901627019265,0.010351202827462748,-0.006406301200443483,-1.8248431788177113,-0.061208716120207826,-0.0685041735668635
VB02,binary,1,865,454,411,0.00046128900739897356,0.0001730483070128668,0.0002882407003861068,0.4156194578250091,0.014124727032741327,0.0012052283053473505
VB02,binary,3,863,454,409,0.0024973806842446046,0.0007449619785593055,0.0017524187056852992,0.603657552202763,0.02058930727739535,0.0165623628535874
VB02,binary,5,861,454,407,0.0007413181348417208,0.004949848599094861,-0.0042085304642531405,-1.2294267757767932,-0.041858288299437725,-0.031214650144695055
VB02,binary,10,856,454,402,0.0018230658474795794,0.0077633302592248,-0.005940264411745221,-1.612689276438033,-0.05520049929639087,-0.04669119829093842
VB02,binary,20,846,449,397,0.006256827377488864,0.010027878163740143,-0.003771050786251279,-1.0891494674177746,-0.03739582779092613,-0.037741501520140656
VB03,binary,1,865,16,849,0.0048701114829586,0.00023866464053484647,0.004631446842423754,1.6641435874511417,0.06123594750775608,0.0538087284094985
VB03,binary,3,863,16,847,0.01947760094331827,0.0013304116467351996,0.018147189296583068,1.189561049364601,0.05760037891333316,0.048411164580967156
VB03,binary,5,861,16,845,0.02859070241010376,0.0022410598514651953,0.026349642558638565,2.4541553144294226,0.07089064578700321,0.07626249488407304
VB03,binary,10,856,16,840,0.007317471330515447,0.00456125133056649,0.0027562199999489577,0.15834805564663887,0.006950399860529697,0.010332590822977113
VB03,binary,20,846,16,830,0.00501067664808779,0.008084593129069798,-0.003073916480982007,-0.18002286281308486,-0.008320193889547856,-0.0044415191492620364
VB04,binary,1,865,376,489,0.0006159932352595033,0.00010007077113261555,0.0005159224641268878,0.7368548071880068,0.025096243070192797,0.04426951840437832
VB04,binary,3,863,376,487,0.004659526033839904,-0.0006436991968090296,0.005303225230648933,1.7906758753468397,0.061874649198991896,0.06874900823926026
VB04,binary,5,861,376,485,0.00532696285686983,0.0007179562450859679,0.004609006611783862,1.3249555350262217,0.045540519604205285,0.03238191324038685
VB04,binary,10,856,373,483,0.00540278044877357,0.004002678160603639,0.001400102288169931,0.3762436470851414,0.012926591452084343,0.00747966455680412
VB04,binary,20,846,368,478,0.008939150843442507,0.0073237983537876436,0.0016153524896548631,0.4595105701944741,0.01591283314722787,0.03908123648572298
VB05,continuous,1,865,0,0,,,,,0.027373271127199904,-0.017529892112561906
VB05,continuous,3,863,0,0,,,,,0.004761726909498514,-0.031473808959754955
VB05,continuous,5,861,0,0,,,,,0.033026669577467783,0.005123623638265999
VB05,continuous,10,856,0,0,,,,,0.011041506260759195,-0.0003701101457005741
VB05,continuous,20,846,0,0,,,,,0.012909765430169338,-0.035733811616746484
